date,count
2019-06-26,168
2019-06-27,109
2019-06-28,511
2019-06-29,280
2019-06-30,404
2019-07-30,693
2019-07-31,686
2019-08-01,805
2019-08-02,375
2019-08-03,339
2019-08-04,205
2019-09-12,1698
2019-09-13,1485
2019-09-14,432
2019-09-15,564
2019-09-16,646
2019-09-17,703
2019-09-18,548
2019-09-19,890
2019-09-20,807
2019-09-21,458
2019-09-22,448
2019-09-23,604
2019-09-24,971
2019-09-25,1408
2019-09-26,873
2019-09-27,1140
2019-09-28,1029
2019-09-29,2096
2019-09-30,4397
